Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC11-PR-01_25,2011,CMF,,0.42739726,0.531506849,,,0.038194444,0.031944444,,,0.08,0.08,,,0,0,
PC11-PR-01_26,2011,RMF,,0.42739726,,,,0.047916667,,,,0.08,,,,0,,
PC11-PR-01_27,2011,RMF,,0.42739726,,,,0.056944444,,,,0.08,,,,0,,
PC11-PR-01_28,2011,CMF,,0.42739726,,,,0.067361111,,,,0.08,,,,0,,
PC11-PR-01_29,2011,CMF,,0.42739726,,,,0.079166667,,,,0.08,,,,0,,
PC11-PR-01_30,2011,CMF,,0.42739726,,,,0.088194444,,,,0.08,,,,0,,
PC11-PR-01_31,2011,CMF,,0.42739726,,,,0.100694444,,,,0.08,,,,0,,
PC11-PR-01_32,2011,CMF,,0.42739726,,,,0.111111111,,,,0.08,,,,0,,
PC11-PR-01_33,2011,CMF,,0.42739726,,,,0.124305556,,,,0.08,,,,0,,
PC11-PR-01_34,2011,CMF,,0.42739726,,,,0.14375,,,,0.08,,,,0,,
PC11-PR-01_35,2011,RSH,,0.42739726,,,,0.152777778,,,,0.08,,,,0,,
PC11-PR-01_36,2011,RSH,,0.42739726,,,,0.160416667,,,,0.08,,,,0,,
PC11-PR-01_37,2011,RYF,,0.42739726,,,,0.165972222,,,,0.08,,,,0,,
PC11-PR-02_04,2011,DMF,0.375342466,,,,0.00625,,,,0.08,,,,0,,,
PC11-PR-02_05,2011,DMF,0.375342466,,,,0.013194444,,,,0.08,,,,0,,,
PC11-PR-02_06,2011,DMF,0.375342466,,,,0.020138889,,,,0.08,,,,0,,,
PC11-PR-02_07,2011,DMF,0.375342466,,,,0.027777778,,,,0.08,,,,0,,,
PC11-PR-02_08,2011,DYF,0.375342466,,,,0.038194444,,,,0.08,,,,0,,,
PC11-PR-02_09,2011,DMF,0.375342466,,,,0.047916667,,,,0.08,,,,0,,,
PC11-PR-02_10,2011,DMF,0.375342466,,,,0.055555556,,,,0.08,,,,0,,,
